id,license,address,city,county,state,latitude,longitude
1277,AT&T,Route 70  (3590),CLAYSVILLE,WASHINGTON,PA,40.119,-80.42072222
1278,AT&T,FREEMAN FALLS ROAD   (3659),MOUNT PLEASANT,WESTMORELAND,PA,40.15047222,-79.43516667
1279,AT&T,LEGISLATIVE ROUTE 64262   (3503),DERRY,WESTMORELAND,PA,40.41563889,-79.35702778
1280,AT&T,3700 SANDY HILL RD   (3504),WEST DEER TWP,ALLEGHENY,PA,40.66527778,-79.92058333
1281,AT&T,WHIPPERILL ROAD   (3522),BURGETTSTOWN,WASHINGTON,PA,40.39608333,-80.50655556
1282,Verizon,129 Fire Tower Road,CONNELLSVILLE,FAYETTE,PA,40.01008333,-79.52741667
1283,Verizon,130 Buchanan Hollow,BRADFORD,MCKEAN,PA,41.95194444,-78.62461111
1284,AT&T,State Route 16 & Fort Ritchie Access Road (106933),Blue Ridge Summit,FRANKLIN,PA,39.7305,-77.47655556
1285,AT&T,522 Locke Road (4495),Dry Run,FRANKLIN,PA,40.08922222,-77.84469444
1286,AT&T,11705 Bark Road (39886),BREEZEWOOD,FULTON,PA,39.88872222,-78.23347222
1287,Verizon,2 MI NW OF SRS 1014 & 818,MAHNOY,SCHUYLKILL,PA,40.84861111,-76.11333333
1288,Verizon,(Tamaqua)2 MILES SE OF I/S RT. 209 & RT. 309,TAMAQUA,SCHUYLKILL,PA,40.79213889,-75.95822222
1289,Verizon,1 MI N OF I-81 & SR 209,KEFFERS,SCHUYLKILL,PA,40.60836111,-76.46280556
1290,Verizon,2 MI SW OF SR 443 & I-81,Pine Grove,SCHUYLKILL,PA,40.51775,-76.43986111
1291,Verizon,Blair Hill Cell Site - 2 mi SW of SRs 2018 & 2017,Yostville,LACKAWANNA,PA,41.26688889,-75.54938889
1292,Verizon,DALLAS CELL SITE - 397 COUNTRY CLUB ROAD,DALLAS,LUZERNE,PA,41.36147222,-75.97811111
1293,Verizon,(Mayfield) 1537 GREENFIELD,JERMYN,LACKAWANNA,PA,41.56333333,-75.54722222
1294,AT&T,11156 SOUTH EAGLE VALLEY ROAD (110358),PORT MATILDA,CENTRE,PA,40.76255556,-78.11166667
1295,AT&T,120 DOE RIDGE LANE (43864),SNOW SHOE,CENTRE,PA,40.99886111,-77.86816667
1296,AT&T,651 Hublers Ridge Rd (15509),BELLEFONTE,CENTRE,PA,40.96836111,-77.62902778
1297,AT&T,107 EAST SYCAMORE ROAD (43088),SNOW SHOE,CENTRE,PA,41.00366667,-77.99538889
1298,AT&T,102 Beach Creek Road (43087),Snow Shoe,CENTRE,PA,41.02138889,-77.93533333
1299,AT&T,Route 144 (2560),Snow Shoe,CENTRE,PA,41.01511111,-77.88716667
1300,AT&T,100 Herring ROAD (2558),SPRING MILLS,CENTRE,PA,40.89138889,-77.53283333
1301,AT&T,84 Prequeisle Street   (2557),Philipsburg,CENTRE,PA,40.88011111,-78.17430556
1302,AT&T,Tussey Mountain and Fire Tower Road   (2553),BOALSBURG,CENTRE,PA,40.75261111,-77.75405556
1303,Verizon,Kylertown Allport Bigler Road,Morrisdale,CLEARFIELD,PA,40.98291667,-78.23561111
1304,Verizon,205 Sunset Road,Carrolltown,CAMBRIA,PA,40.614,-78.70469444
1305,Verizon,Mountain Church Road,BROCKPORT,ELK,PA,41.26191667,-78.69694444
1306,Verizon,State Rd. 3017,PUNXSUTAWNEY,JEFFERSON,PA,40.92305556,-78.95833333
1307,Verizon,T.R. 336 Radio Tower Road Off Route 322,UNION,JEFFERSON,PA,41.18394444,-79.16530556
1308,AT&T,Fire Tower Road   (96237),BEDFORD,BEDFORD,PA,40.01313889,-78.55377778
1309,AT&T,PA STATE GAME LANDS #97  (44563),SNAKE TOWNSHIP,BEDFORD,PA,40.00119444,-78.40083333
1310,AT&T,492 MOUNTAIN FARM LANE  (39889),Breezewood,BEDFORD,PA,39.94722222,-78.24238889
1311,AT&T,1231 Narrow Lane   (96233),Bedford,BEDFORD,PA,39.80472222,-78.64611111
1312,AT&T,RD1  Box 220   (113209),IMLER,BEDFORD,PA,40.25775,-78.47008333
1313,Verizon,APPROXIMATELY 1/3 MILE NORTH OF LEGISLATIVE ROUTE 33038,FALLS CREEK,JEFFERSON,PA,41.16630556,-78.81352778
1314,Verizon,Township Road,CLEARFIELD,CLEARFIELD,PA,41.01961111,-78.35644444
1315,Verizon,ON ROUTE 729; 1.5 MILES NORTH OF THE RT. 729,Curwensville,CLEARFIELD,PA,40.94466667,-78.57986111
1316,Verizon,Highway 322,Brookville,JEFFERSON,PA,41.15002778,-79.03186111
1317,Verizon,2172 SKYLINE DR,MARION CENTER,INDIANA,PA,40.73863889,-79.05477778
1318,Verizon,along Rt 322 1 mi W of rt 153,Rockton,CLEARFIELD,PA,41.07611111,-78.55138889
1319,Verizon,3677 Chestnut Ridge Road,BLAIRSVILLE,INDIANA,PA,40.44866667,-79.15730556
1320,Verizon,2 MILES NE OF I/S RT. 61 & TWP HWY 692A,POTTSVILLE,SCHUYLKILL,PA,40.6625,-76.17722222
1321,Verizon,(Rocky Ridge) Cambelback Rd,Jackon township,MONROE,PA,41.04438889,-75.37741667
1322,Verizon,West Mountain Cell Site - 2 mi SW of RTs 307 & 9,Scranton,LACKAWANNA,PA,41.45819444,-75.70222222
1323,Verizon,3/4 MILE N OF I/S SHADE MTN. RD. & S. R. 104,MIDDLEBURG,SNYDER,PA,40.76111111,-77.01916667
1324,AT&T,240 South Turnpike Street (96083),Dushore,SULLIVAN,PA,41.51402778,-76.39708333
1325,AT&T,80 Kevin Lane (113501),Nicholson,WYOMING,PA,41.61205556,-75.77933333
1326,AT&T,Intersection of Route 29 with Route 309 (96081),Vernon,WYOMING,PA,41.45072222,-76.00752778
1327,AT&T,140 Paines Hill Road (96096),Troy,BRADFORD,PA,41.78072222,-76.78163889
1328,AT&T,92 Bergamen Drive (99107),Gransville Summit,BRADFORD,PA,41.75797222,-76.63058333
1329,Verizon,3.7 MI ENE OF SR 147 & BOILE RUN,SUNBURY,NORTHUMBERLAND,PA,40.77094444,-76.76994444
1330,Verizon,605 Piney Mtn. Ridge,Fayetteville,ADAMS,PA,39.90586111,-77.45080556
1331,Verizon,844 Old Common Rd.,Bittersville,YORK,PA,39.93472222,-76.54888889
1332,Verizon,(Hanover) 752 High Rock Rd,Hanover,YORK,PA,39.85872222,-76.94913889
1333,Verizon,1389 Rt 830,BROOKVILLE,JEFFERSON,PA,41.15002778,-79.03186111
1334,Verizon,RD # 1  REILLY HOLLOW ROAD & WMRF,SMETHPORT,MCKEAN,PA,41.81025,-78.38436111
1335,Verizon,May Hollow Road,EMPORIUM,CAMERON,PA,41.49155556,-78.25502778
1336,Verizon,Mountain Church Road,Brockport,ELK,PA,41.26191667,-78.69694444
1337,Verizon,Niles Hollow Road and Song,Custer city,MCKEAN,PA,41.91652778,-78.66338889
